,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
113,3.2128250720515e+31,25019852877.034164,1.8271726608145022,5172378.385476968,1279001145423757.5,7.817277619359046e+30,0.0030492576055004906,1.5218579764962747,0.4,0.4,c
114,3.247258926259056e+31,25191646301.747005,1.831627719271513,5158963.762209114,1278776087575482.0,7.84242311901251e+30,0.0030109149653414708,1.526260027822998,0.4,0.4,c
115,3.282061829602185e+31,25364494418.882195,1.8360677158692174,5145645.608956471,1278548617641589.0,7.867226724718175e+30,0.002973177854614815,1.530666927413999,0.4,0.4,c
116,3.3172377374111435e+31,25538403257.425426,1.8404921363214284,5132424.244446938,1278318709770249.0,7.891694747044847e+30,0.0029360385030346684,1.535078561866757,0.4,0.4,c
117,3.3527906474078527e+31,25713378882.06855,1.8449004701709921,5119299.962679162,1278086337832562.8,7.915833393370952e+30,0.0028994891537374437,1.5394948186611017,0.4,0.4,c
118,3.388724600160401e+31,25889427392.46294,1.8492922109254586,5106273.03325574,1277851475419591.5,7.939648769079563e+30,0.0028635220671293757,1.5439155861750913,0.4,0.4,c
119,3.4250436795421683e+31,26066554922.504635,1.8536668561906566,5093343.701718581,1277614095839354.0,7.963146878758152e+30,0.002828129524574038,1.5483407537013818,0.4,0.4,c
120,3.461752013195877e+31,26244767639.64949,1.8580239078021044,5080512.189886143,1277374172113797.0,7.986333627402684e+30,0.0027933038319224706,1.5527702114640451,0.4,0.4,c
121,3.4988537730028576e+31,26424071744.256714,1.8623628719541727,5067778.696192291,1277131676975723.8,8.009214821625626e+30,0.0027590373228885395,1.5572038506357664,0.4,0.4,c
122,3.536353175557103e+31,26604473468.959263,1.866683259326929,5055143.396026532,1276886582865699.5,8.031796170867394e+30,0.0027253223622725697,1.5616415633553693,0.4,0.4,c
123,3.5742544826443907e+31,26785979078.059635,1.870984585210568,5042606.442075429,1276638861928917.5,8.054083288610753e+30,0.0026921513490361162,1.5660832427456222,0.4,0.4,c
124,3.6125620017268078e+31,26968594866.949673,1.8752663696273446,5030167.964664964,1276388486012033.8,8.076081693597624e+30,0.0026595167192309983,1.5705287829312549,0.4,0.4,c
125,3.651280086432205e+31,27152327161.553127,1.87952813745093,5017828.072103701,1276135426659967.0,8.097796811047771e+30,0.0026274109487856756,1.5749780790571535,0.4,0.4,c
126,3.690413137048894e+31,27337182317.789738,1.8837694185230847,5005586.8510265555,1275879655112665.5,8.119233973878783e+30,0.0025958265561523758,1.5795071585694802,0.4,0.4,c
127,3.7299656010259166e+31,27523166721.05969,1.8879899001065887,4993443.965799058,1275621142301837.2,8.140398423926796e+30,0.0025647551006782727,1.5841113893505323,0.4,0.4,c
128,3.7699419734783744e+31,27710286770.056168,1.8921892641687896,4981399.094625148,1275359858847648.2,8.161295305000733e+30,0.002534188309677325,1.5887187613856542,0.4,0.4,c
129,3.8103467976983594e+31,27898548878.065006,1.8963670553390914,4969452.273702853,1275095775055381.2,8.181929665022769e+30,0.0025041189225158585,1.5933291602676665,0.4,0.4,c
130,3.8511846656711694e+31,28087959487.918167,1.9005228233916556,4957603.5193441855,1274828860912063.5,8.202306465016425e+30,0.0024745397291153276,1.597942472844376,0.4,0.4,c
131,3.8924602185973735e+31,28278525071.49623,1.9046561233553667,4945852.828286813,1274559086083053.5,8.222430580326923e+30,0.002445443571878947,1.6025585872408339,0.4,0.4,c
132,3.9341781474201874e+31,28470252129.248848,1.9087665156204974,4934200.178006921,1274286419908595.0,8.242306801837618e+30,0.0024168233475074198,1.6071773928814082,0.4,0.4,c
133,3.9763431933585018e+31,28663147189.73222,1.912853566041981,4922645.52703312,1274010831400331.2,8.261939837182107e+30,0.0023886720087066523,1.6117987805115777,0.4,0.4,c
134,4.0189601484459093e+31,28857216809.162773,1.9169168460392096,4911188.815261258,1273732289237784.8,8.281334311951605e+30,0.0023609825657903514,1.6164226422194423,0.4,0.4,c
135,4.062033856075221e+31,29052467570.986233,1.9209559326922692,4899829.964270021,1273450761764795.8,8.300494770897178e+30,0.002333748088180215,1.6210488714568942,0.4,0.4,c
136,4.10556921154882e+31,29248906085.46133,1.924970408834537,4888568.877637209,1273166216985927.8,8.319425679126446e+30,0.0023069617058068597,1.6256773630603991,0.4,0.4,c
137,4.149571162635199e+31,29446538989.257442,1.9289598631415468,4877405.441256569,1272878622562826.8,8.33813142329433e+30,0.0022806166104141273,1.6303080132713699,0.4,0.4,c
138,4.194044710131183e+31,29645372945.065517,1.932923890216059,4866339.523655078,1272587945810549.5,8.356616312787477e+30,0.002254706056769726,1.6349407197560797,0.4,0.4,c
139,4.238994908430157e+31,29845414641.22167,1.9368620906692486,4855370.976310595,1272294153693848.0,8.374884580901969e+30,0.0022292233637850735,1.6395753816250904,0.4,0.4,c
140,4.284426866096701e+31,30046670791.34285,1.9407740711979378,4844499.633969766,1271997212823414.5,8.392940386013924e+30,0.002204161915547177,1.6442118994521437,0.4,0.4,c
141,4.330345746447043e+31,30249148133.97409,1.944659444657808,4833725.3149661105,1271697089452087.2,8.410787812742659e+30,0.002179515162265333,1.648850175292502,0.4,0.4,c
142,4.37675676813593e+31,30452853432.24678,1.9485178301325192,4823047.821538187,1271393749471014.8,8.428430873106027e+30,0.0021552766211354723,1.6534901127007002,0.4,0.4,c
143,4.423665205749589e+31,30657793473.547546,1.9523488529986774,4812466.940147766,1271087158405780.5,8.445873507667604e+30,0.0021314398771249002,1.6581316167476685,0.4,0.4,c
144,4.47107639040539e+31,30863975069.19726,1.9561521449865817,4801982.44179792,1270777281412483.2,8.463119586675391e+30,0.002107998583680115,1.6627745940372185,0.4,0.4,c
145,4.51899571035762e+31,31071405054.13984,1.9599273442367116,4791594.0823509535,1270464083273777.8,8.480172911191722e+30,0.0020849464633604683,1.6674189527218377,0.4,0.4,c
146,4.567428611609746e+31,31280090286.640366,1.9636740953518839,4781301.602846096,1270147528394873.8,8.497037214214063e+30,0.0020622773084002406,1.6720646025178008,0.4,0.4,c
147,4.616380598533568e+31,31490037647.99228,1.967392049445048,4771104.729816878,1269827580799488.2,8.513716161786425e+30,0.0020399849812018154,1.6767114547195359,0.4,0.4,c
148,4.665857234494677e+31,31701254042.233253,1.9710808641826665,4761003.175608108,1269504204125757.5,8.530213354101117e+30,0.0020180634147623916,1.681359422213261,0.4,0.4,c
149,4.71586414248462e+31,31913746395.869488,1.9747402038236597,4750996.6386923855,1269177361622106.5,8.546532326590565e+30,0.001996506613036913,1.686008419489838,0.4,0.4,c
150,4.76640700576017e+31,32127521657.608128,1.9783697392538588,4741084.803986064,1268847016143069.5,8.562676551008978e+30,0.0019753086512395743,1.6906583626568468,0.4,0.4,c
151,4.817491568489116e+31,32342586798.097584,1.9819691480159611,4731267.343164592,1268513130145069.5,8.578649436503603e+30,0.0019544636760863076,1.6953091694498483,0.4,0.4,c
152,4.869123636402967e+31,32558948809.675472,1.9855381143349613,4721543.914977147,1268175665682152.8,8.594454330675373e+30,0.0019339659059807444,1.6999607592428325,0.4,0.4,c
153,4.921309077457001e+31,32776614706.124023,1.9890763291390299,4711914.165560501,1267834584401673.5,8.610094520628738e+30,0.0019138096311458095,1.7046130530578183,0.4,0.4,c
154,4.974053822497042e+31,32995591522.432705,1.9925834900758497,4702377.728752018,1267489847539936.8,8.6255732340105e+30,0.0018939892137033246,1.709265973573618,0.4,0.4,c
